id,featured,format_name,lang,verified,views,shares,likes
354,0,140,en,Not Verified,1,2,3
355,0,poem,en,Not Verified,2,1,1
356,0,rant,en,Not Verified,4,1,2
357,0,musing,en,Not Verified,1,2,7
358,0,thought,en,Not Verified,1,1,3
359,0,short story,en,Not Verified,2,1,8
360,1,musing,en,Verified,14,1,108
361,0,thought,en,Not Verified,9,2,3
362,1,open letter,en,Verified,1,1,63
363,0,musing,en,Not Verified,3,4,4
364,0,poem,en,Not Verified,1,1,1
365,0,140,en,Not Verified,3,1,1
366,0,poem,en,Not Verified,3,2,2
367,1,short story,en,Not Verified,1,12,21
368,0,short story,en,Not Verified,8,1,3
369,1,diary,en,Not Verified,1,1,45
370,0,thought,en,Verified,1,2,14
371,0,140,en,Not Verified,4,1,3
372,1,thought,en,Verified,3,2,66
373,0,thought,en,Not Verified,1,1,1
374,1,short story,en,Not Verified,1,3,38
375,1,poem,en,Verified,2,1,51
376,0,140,en,Not Verified,12,2,13
377,0,140,en,Not Verified,10,3,4
378,1,poem,en,Not Verified,1,2,18
379,0,thought,en,Verified,5,8,17
380,0,diary,en,Not Verified,2,1,2
381,0,140,en,Not Verified,1,1,2
382,0,short story,en,Not Verified,9,2,1
383,0,poem,en,Not Verified,1,2,2
384,0,poem,en,Not Verified,3,1,1
385,0,thought,en,Verified,10,2,14
386,0,diary,en,Not Verified,1,2,1
387,0,140,en,Not Verified,1,1,1
388,0,poem,en,Not Verified,1,1,3
389,0,poem,en,Not Verified,1,1,3
390,0,diary,en,Not Verified,2,1,4
391,0,140,en,Not Verified,1,2,2
392,0,140,en,Not Verified,1,2,3
393,0,poem,en,Not Verified,1,1,2
394,0,140,en,Not Verified,1,2,2
395,0,thought,en,Not Verified,1,1,1
396,0,poem,en,Not Verified,1,2,1
397,1,musing,en,Verified,1,2,40
398,1,poem,en,Verified,6,2,209
399,1,thought,en,Verified,1,2,87
400,0,open letter,en,Not Verified,2,2,2
401,0,140,en,Not Verified,1,3,1
402,0,poem,en,Not Verified,2,2,2
403,0,rant,en,Not Verified,3,1,1
404,0,poem,en,Not Verified,1,2,2
405,1,thought,en,Verified,26,3,236
406,1,thought,en,Verified,2,1,116
407,0,poem,en,Not Verified,1,1,1
408,1,musing,en,Verified,5,8,87
409,0,musing,en,Not Verified,2,2,2
410,0,poem,en,Not Verified,2,3,3
411,0,thought,en,Verified,1,2,10
412,0,140,en,Not Verified,1,2,1
413,0,thought,en,Not Verified,14,11,5
414,0,140,en,Not Verified,2,3,1
415,0,poem,en,Verified,5,1,1
416,0,poem,en,Verified,2,4,2
417,0,140,en,Not Verified,1,1,2
418,1,bubble,en,Verified,20,1,164
419,1,bubble,en,Verified,8,6,282
420,0,musing,en,Not Verified,6,1,4
421,0,thought,en,Not Verified,4,2,5
422,0,musing,en,Not Verified,1,2,1
423,0,poem,en,Not Verified,3,2,3
424,1,thought,en,Verified,4,2,92
425,0,poem,en,Not Verified,1,3,13
426,1,thought,en,Verified,7,2,110
427,1,thought,en,Verified,3,1,113
428,0,open letter,en,Not Verified,2,3,3
429,0,open letter,en,Not Verified,2,2,2
430,1,140,en,Not Verified,5,2,140
431,0,poem,en,Not Verified,1,1,1
432,0,musing,en,Not Verified,1,17,5
433,0,poem,en,Not Verified,2,1,3
434,0,poem,en,Not Verified,6,1,7
435,0,short story,en,Not Verified,3,1,2
436,0,thought,en,Verified,17,1,5
437,0,rant,en,Not Verified,6,2,3
438,0,musing,en,Not Verified,2,4,4
439,1,poem,en,Not Verified,1,6,125
440,0,thought,en,Not Verified,1,2,3
441,0,page,en,Not Verified,6,2,8
442,0,thought,en,Verified,5,6,22
443,0,140,en,Verified,2,2,12
444,1,poem,en,Verified,6,1,45
445,0,poem,en,Not Verified,1,2,2
446,0,diary,en,Not Verified,5,3,2
447,1,thought,en,Verified,2,2,126
448,0,short story,en,Not Verified,1,1,2
449,0,short story,en,Not Verified,1,2,3
450,0,140,en,Not Verified,1,1,1
451,0,musing,en,Not Verified,6,4,1
452,1,short story,en,Verified,7,1,79
453,0,rant,en,Verified,3,2,4
454,0,140,en,Verified,7,2,51
455,1,bubble,en,Verified,13,6,203
456,1,musing,en,Verified,5,2,93
457,0,140,en,Not Verified,4,1,1
458,0,thought,en,Not Verified,3,1,5
459,0,poem,en,Not Verified,1,4,1
460,0,poem,en,Not Verified,17,2,4
461,1,short story,en,Verified,2,1,28
462,0,thought,en,Not Verified,2,1,4
463,1,thought,en,Verified,3,2,69
464,0,140,en,Not Verified,1,1,1
465,0,musing,en,Not Verified,1,2,1
466,0,open letter,en,Not Verified,4,1,5
467,1,short story,en,Verified,2,1,78
468,1,short story,en,Verified,4,1,61
469,0,thought,en,Verified,9,1,14
470,0,diary,en,Not Verified,1,1,5
471,0,musing,en,Not Verified,5,1,11
472,0,poem,en,Not Verified,1,4,1
473,0,140,en,Not Verified,2,1,1
474,0,musing,en,Not Verified,2,4,3
475,1,short story,en,Not Verified,6,5,158
476,1,140,en,Verified,10,1,260
477,0,rant,en,Not Verified,1,2,6
478,0,thought,en,Not Verified,4,1,1
479,1,open letter,en,Not Verified,2,1,27
480,0,poem,en,Not Verified,2,2,2
481,0,thought,en,Not Verified,3,1,2
482,0,poem,en,Not Verified,1,1,1
483,0,short story,en,Not Verified,10,1,2
484,0,poem,en,Not Verified,1,1,3
485,0,thought,en,Not Verified,1,2,1
486,0,musing,en,Not Verified,2,1,2
487,0,musing,en,Not Verified,1,1,1
488,0,poem,en,Not Verified,1,3,1
489,0,rant,en,Not Verified,1,1,4
490,1,poem,en,Verified,6,1,59
491,0,thought,en,Not Verified,3,1,13
