"days","likes","shares","reads"
"02/06/2019",1667,1885,0
"02/06/2018",29,0,0
"02/05/2019",1521,1277,0
"02/04/2019",1681,2066,0
"02/03/2019",1984,0,0
"02/02/2019",1909,0,0
"02/01/2019",1517,0,0
"01/12/2018",1862,0,0
"01/11/2018",1877,0,0
"01/10/2018",1960,0,0
"01/09/2019",4882,790,53794
"01/09/2018",2176,0,0
"01/08/2019",2847,963,0
"01/08/2018",2158,0,0
"01/07/2019",1614,1968,0
"01/07/2018",1305,0,0
"01/06/2019",1412,1338,0
"01/06/2018",1370365,0,0
"01/05/2019",903,1346,0
"01/04/2019",1654,1649,0
"01/03/2019",1583,0,0
"01/02/2019",1859,0,0
"01/01/2019",1544,0,0
